118180	6175	-1
137761	15135	-1
118653	14910	1
128210	16508	1
128209	19078	1
116477	27414	-1
118654	25437	1
38487	27374	1
6391	28545	-1
6390	28685	1
96616	30130	-1
27836	32477	-1
33960	32627	1
20315	32742	1
27835	33557	-1
17157	33633	1
96605	44668	-1
112630	46058	1
98220	47872	-1
10042	48095	-1
20312	48428	1
29042	48832	-1
88299	48806	-1
29041	48875	1
10038	49295	1
15101	50210	1
10036	51170	1
33957	51724	-1
33956	52367	1
10034	52515	1
104227	57308	-1
10033	59650	-1
15099	59693	1
17155	62282	-1
34645	60672	1
10027	62337	1
17154	63195	1
13999	65966	-1
34632	65136	1
20311	65899	1
13998	66135	1
17153	69201	-1
34648	68419	1
13996	70157	-1
5649	71230	-1
5648	71245	1
13995	73969	1
33952	76209	1
17152	76274	1
17151	78835	-1
17150	79385	-1
34649	79176	1
7590	80207	-1
14490	82934	-1
7588	82705	1
20307	84499	-1
34650	84263	1
7586	84426	1
24555	87836	-1
14488	88975	-1
14487	89779	1
7579	92598	1
7578	94051	-1
34651	93839	1
7577	94125	1
17149	97050	-1
34653	96085	1
88245	100771	-1
34654	97154	1
3628	101115	-1
24550	101426	1
116713	102152	-1
134442	102701	-1
34641	103142	1
893	103417	-1
892	103533	-1
25698	103613	-1
88257	104480	-1
112608	105108	-1
4715	104536	-1
34642	104535	1
135831	111929	1
105983	113724	1
105806	114256	-1
111903	114785	1
99743	116322	1
112678	120235	1
119007	121631	-1
106300	123968	1
34196	125063	1
137621	126897	-1
101410	129873	1
137607	132014	1
34357	133760	1
20165	136482	-1
32034	136444	1
91504	136925	1
91485	139735	-1
91505	151847	-1
17051	151663	1
91476	155144	-1
91480	157508	1
113273	162151	-1
4644	164609	-1
20167	165235	-1
17053	164927	1
20168	168486	-1
17054	169135	-1
20170	169310	-1
32036	169543	-1
32035	169183	1
32822	169242	1
17055	169475	1
32037	171477	-1
17056	171251	1
1441	171366	1
1890	172615	-1
26121	172143	1
17058	174828	1
25913	177394	-1
34366	177346	1
91499	177686	1
1369	177691	1
1370	177911	-1
113282	177999	1
113281	178081	1
113283	179992	1
113284	181512	-1
113285	185902	-1
113286	185937	-1
36404	187054	-1
33559	187152	-1
19100	187437	1
36415	187601	-1
36403	187914	-1
16300	191768	-1
2834	191895	1
36400	192640	-1
2833	193179	1
36413	193577	-1
2831	194012	-1
2830	194003	1
36412	194302	-1
16299	194482	1
113290	196044	-1
27446	197704	-1
5333	197226	1
16298	198178	-1
16297	198112	1
13896	199779	-1
19098	199958	-1
5328	200390	-1
36410	200632	-1
88581	201510	-1
5324	203589	-1
5323	203711	-1
27444	203995	1
5320	204245	-1
5321	204132	1
5317	205680	-1
19096	205504	1
36399	205822	-1
31461	206358	-1
113297	206222	1
100703	212635	1
99228	212855	1
26894	213097	1
3896	213744	1
23655	214044	1
94542	220721	-1
16365	224671	-1
35202	222444	1
2573	224670	1
2572	226075	-1
16364	226090	1
23651	227000	-1
26838	228830	1
3756	229425	1
3755	230403	-1
31522	229853	1
16363	230570	1
113303	232116	1
25777	235589	-1
38595	235470	1
95483	236745	1
2736	237050	-1
120237	238924	1
125350	239315	-1
119702	240989	-1
116834	240988	1
115515	241418	-1
113304	241563	1
115754	241838	-1
26421	243505	1
31520	243685	-1
112315	244502	-1
116090	246828	1
10587	248129	1
36617	248629	-1
29246	249150	-1
10589	248866	1
22605	249062	1
98865	249419	1
97834	249457	1
100413	249708	-1
100411	249889	-1
29248	250103	1
15250	252089	-1
117163	252676	-1
135869	253173	-1
118641	252937	1
120293	253656	-1
32017	254234	-1
23773	254492	-1
15251	254483	1
29252	256094	-1
29253	256416	-1
91844	256624	1
10605	256778	1
10606	258194	1
10608	261919	-1
29254	259132	1
91823	259500	1
10609	262111	1
101824	266113	-1
15252	266136	1
20134	266687	-1
32018	266686	1
10612	267678	-1
99071	268102	-1
10613	268011	1
29256	268593	1
23767	270395	-1
10619	270669	1
36627	271003	-1
135991	276078	1
26497	281485	1
2842	282028	-1
114498	286974	-1
38444	282745	1
95155	283457	1
19119	286691	1
19120	287330	-1
38457	287046	1
12945	287149	1
22165	288156	1
16310	289788	-1
38460	289603	1
16311	291130	-1
2452	291276	1
16312	292292	1
14614	295709	-1
8035	298044	-1
14615	298133	1
95158	300603	-1
8037	300602	1
31471	301642	-1
8038	301590	1
103493	302335	-1
95162	303067	1
14616	304311	-1
16313	304862	1
19125	306261	1
8044	307582	-1
37811	311700	-1
135294	333427	1
113094	339233	-1
38910	340197	1
38901	340850	1
26364	341416	1
2483	344831	-1
38906	343641	1
